,Water_Withdrawal
1901,671306.983873
1902,685160.582511
1903,655134.883737
1904,699576.268956
1905,700946.862061
1906,696602.977599
1907,731144.772386
1908,719471.701227
1909,728901.391069
1910,721299.647144
1911,745680.72054
1912,767006.346937
1913,815330.197706
1914,786612.865433
1915,795361.689794
1916,787231.95202
1917,775639.80213
1918,866090.893167
1919,836046.221526
1920,884507.213764
1921,843070.029162
1922,871840.024725
1923,871314.812056
1924,889083.480856
1925,924787.108685
1926,897784.782426
1927,942226.756274
1928,948217.63675
1929,971752.09673
1930,953917.032232
1931,933752.708438
1932,975080.407692
1933,947880.055696
1934,1001227.847427
1935,1017967.168166
1936,1030140.139854
1937,1037521.71128
1938,1068636.917459
1939,1101694.892511
1940,1110057.100858
1941,1127967.315874
1942,1118901.725058
1943,1138661.531039
1944,1142668.949683
1945,1141481.848418
1946,1177734.201509
1947,1178084.07205
1948,1183911.222473
1949,1193998.559818
1950,1226581.492652
1951,1328106.361712
1952,1379031.417592
1953,1373804.788386
1954,1372677.661659
1955,1424773.252538
1956,1457353.328546
1957,1567294.694315
1958,1576923.377182
1959,1638316.188497
1960,1751856.694173
1961,1765317.094855
1962,1836014.016143
1963,1919424.571799
1964,1946670.963025
1965,2094529.30142
1966,2155354.004443
1967,2133103.824801
1968,2349150.276457
1969,2358734.737509
1970,2362057.426681
1971,2435749.010145
1972,2547232.873087
1973,2606315.331685
1974,2724754.347202
1975,2638242.268253
1976,2739688.119549
1977,2790536.167979
1978,2991132.085753
1979,3110120.552704
1980,3073437.838693
1981,3053974.246703
1982,3067192.207543
1983,3033538.895562
1984,3115820.776136
1985,3128754.701301
1986,3233087.696664
1987,3271390.124759
1988,3338411.792004
1989,3369048.48762
1990,3321357.298152
1991,3417687.603175
1992,3319438.058851
1993,3358249.157599
1994,3464070.20327
1995,3420212.914562
1996,3338874.861936
1997,3441859.120538
1998,3495761.711662
1999,3651048.141907
2000,3785948.890323
2001,3861642.393124
2002,3806857.575151
2003,3723071.436326
2004,3852973.536488
2005,3827437.377208
2006,3992199.319449
2007,4003664.798444
2008,3948326.264862
2009,4072946.984929
2010,3871886.184482
2011,
2012,
2013,
2014,3985681.6
